Topic,Count,Name,Representation,Representative_Docs
10,42,10_ai_your_and_cyberguy,"['ai', 'your', 'and', 'cyberguy', 'knutsson', 'kurt', 'how', 'to', 'technology', 'artificial']","['Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.', 'Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.', 'Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.']"
11,42,11_cancer_to_the_dr,"['cancer', 'to', 'the', 'dr', 'doctors', 'that', 'help', 'depression', 'study', 'and']","['The effects of COVID are lingering longer in some states than others, according to the latest Morbidity and Mortality Weekly Report from the CDC. Dr. Marc Siegel adds his insights.', 'The U.S. Food and Drug Administration (FDA) approved the first medication to treat severe frostbite, the agency announced this week. Dr. Marc Siegel, Fox News medical contributor, weighed in.', ""Amid reports that the CDC may be considering a change to its COVID isolation guidelines, doctors are sharing their recommendations for when it's OK for people who test positive to end quarantine.""]"
12,41,12_missing___,"['missing', '', '', '', '', '', '', '', '', '']","['missing', 'missing', 'missing']"
13,35,13_charles_prince_king_harry,"['charles', 'prince', 'king', 'harry', 'iii', 'cancer', 'diagnosis', 'his', 'royal', 'markle']","['In an interview with ""Good Morning America,"" Prince Harry admitted he\'s ""considered"" becoming a U.S. citizen. The British royal is the younger son of King Charles III.', ""Prince Harry broke his silence on his estranged father King Charles' cancer diagnosis in a bombshell interview. The Duke of Sussex said Charles' illness could reunify the family."", 'A royal expert told Fox News Digital that Prince William ""is not meeting"" with his brother Prince Harry during his visit to the U.K. following King Charles\' cancer diagnosis.']"
14,28,14_election_elections_resigned_will,"['election', 'elections', 'resigned', 'will', 'results', 'the', 'resign', 'minister', 'presidential', 'pakistans']","[""Candidates for Iran's parliament have begun campaigning for March elections. They will be the first since nationwide protests following the death of Mahsa Amini in police custody."", ""The final results of Pakistan's parliamentary elections are out, but there is still no winner. People are angry about the election results and legal challenges have started."", ""The camps of the two losing Indonesian presidential candidates from last month's election intend to contest the official results in the Constitutional Court.""]"
15,21,15_rescued_hiker_mountain_mount,"['rescued', 'hiker', 'mountain', 'mount', 'rescue', 'skier', 'avalanche', 'resort', 'and', 'animal']","[""A hiker recently saved from Mount Washington after slipping and falling during bad weather conditions is speaking out about his 11-hour's long rescue."", 'Rescue team required 10 hours to save an unprepared hiker who failed to turn around on Mount Washington despite dangerous conditions and chilling winds.', 'A Rhode Island hiker was on a walk in the woods when he was bitten by a coyote. The animal, whom the hiker killed with his bare hands, has since tested positive for rabies.']"
16,20,16_discovered_the_archaeologists_year,"['discovered', 'the', 'archaeologists', 'year', 'ancient', 'nasa', 'lunar', 'discovery', 'hole', 'moon']","['An unmanned Japanese spacecraft that landed on the moon last month has transmitted data on 10 lunar rocks that could provide clues about the origin of the moon.', ""Astronomers have reportedly discovered the brightest object in the universe, a quasar with a rapidly-growing black hole that swallows the equivalent of Earth's Sun per day."", ""Astronomers reported Friday that three new moons  one orbiting Uranus and two orbiting Neptune  have been discovered, placing each planet's lunar tally at 28 and 16 known moons.""]"
17,19,17_lent_of_prayer_god,"['lent', 'of', 'prayer', 'god', 'during', 'and', 'fr', 'churches', 'season', 'christians']","[""The Litany of Humility is a popular prayer during Lent. Here's why, and here's why people pray a series of petitions against the sin of pride during this season."", ""Christians around the world are observing the holy season of Lent. The more than 40 days that preceed Easter. Here's how your knees can play a special role in your life this year."", 'The first Sunday of Lent kicks off the first full week of the Lenten season, a 40-day preparation for Easter. Pastor Jesse Bradley shared faith insights on drawing closer to God.']"
18,13,18_by_mark_gleeson_oxley,"['by', 'mark', 'gleeson', 'oxley', 'milosavljevic', 'mcguire', 'maidment', 'lamportstokes', 'zoran', 'homewood']","['By Zoran Milosavljevic', 'By Mark Gleeson', 'By Mark Gleeson']"
19,12,19_american_constitution_rotunda_picasso,"['american', 'constitution', 'rotunda', 'picasso', 'powder', 'artwork', 'archives', 'national', 'dumped', 'erase']","['Native American activists fear a cancel culture ""firing squad"" will continue to erase indigenous heritage and history while driving a wedge between the American people.', 'The National Archives Rotunda has been evacuated after climate activist dumped red powder on the encasement protecting the U.S. Constitution.', 'The National Archives Rotunda will closed for cleaning this week after environmental activists dumped red powder on the protective display case holding the U.S. Constitution.']"
